PSP_CODE,CF,BIC,ABI,ENABLED
ABI08542,01445030396,TBD,08542,Y
ABI08904,00254520265,CCRTIT2TPRE,08904,Y
ABI08717,00134660604,TBD,08717,Y
ICRAITRRJX0,00134660604,ICRAITRRJX0,TBD,Y
ABI08452,00285800280,TBD,08452,Y
ABI03493,00194450219,TBD,03493,Y
ABI08133,00179580212,TBD,08133,Y
ICRAITRR3P0,00179580212,ICRAITRR3P0,TBD,Y
CCRTIT2T06A,00106040223,CCRTIT2T06A,TBD,Y
ABI08026,00106040223,TBD,08026,Y
ABI08327,01275240586,TBD,08327,Y
ROMAITRRXXX,01275240586,ROMAITRRXXX,TBD,Y
ABI08514,02249360161,TBD,08514,Y
ICRAITRREA0,02249360161,ICRAITRREA0,TBD,Y
ABI08726,00174600460,TBD,08726,Y
ICRAITRRK60,00174600460,ICRAITRRK60,TBD,Y
CIPYIT31K,01806800676,CIPYIT31K,TBD,Y
ABI08807,00232120246,TBD,08807,Y
CCRTIT2TC11,00232120246,CCRTIT2TC11,TBD,Y
ICRAITRRNO0,04302260403,ICRAITRRNO0,TBD,Y
ABI08852,04302260403,TBD,08852,Y
ABI03084,07051880966,TBD,03084,Y
ABI03425,00166050047,TBD,03425,Y
ABI03430,03515830168,TBD,03430,Y
ABI03440,01181770155,BDBDIT22XXX,03440,Y
ABI05036,00026870881,TBD,05036,Y
ABI05104,04781291002,TBD,05104,Y
ABI05142,00423310630,TBD,05142,Y
ABI05262,02848590754,TBD,05262,Y
ABI05372,00121930606,TBD,05372,Y
ABI05424,00254030729,TBD,05424,Y
ABI05484,00249360306,TBD,05484,Y
ABI06045,00152980215,TBD,06045,Y
ABI06085,00060550050,TBD,06085,Y
ABI06150,00112540448,TBD,06150,Y
ABI06220,00063960553,TBD,06220,Y
ABI06305,00204500045,TBD,06305,Y
ABI06915,01459540462,TBD,06915,Y
ABI07062,02300410780,TBD,07062,Y
ABI07066,03685090650,TBD,07066,Y
ABI07070,04241970401,TBD,07070,Y
ABI07072,02888381205,TBD,07072,Y
BCITITMM,00799960158,BCITITMM,03069,Y
UNCRITMM,00348170101,UNCRITMM,02008,Y
RZSBIT2B,00194450219,RZSBIT2B,TBD,Y
ABI02008,00348170101,TBD,02008,Y
BPLZIT3V,04781291002,BPLZIT3VXXX,TBD,Y
IMCOIT2A,00293070371,IMCOIT2AXXX,05080,Y
CRRAIT2R,01188860397,CRRAIT2RXXX,06270,Y
ABI03048,00821100013,TBD,03048,Y
BDCPITTT,00821100013,BDCPITTTXXX,03048,Y
ABI05080,00293070371,IMCOIT2AXXX,05080,Y
ABI06270,01188860397,CRRAIT2RXXX,06270,Y
ABI03069,00799960158,TBD,03069,Y
ABI03599,00232480228,TBD,03599,Y
CCRTIT2TXXX,00232480228,CCRTIT2TXXX,TBD,Y
ABI01030,00884060526,TBD,01030,Y
UNCR-COR,00348170101,TBD,TBD,Y
ABI05034,09722490969,TBD,05034,Y
ITBBITM1,06529501006,ITBBITM1XXX,TBD,Y
ICRAITRRE20,03310710409,ICRAITRRE20,TBD,Y
ICRAITRR9I0,00639000652,ICRAITRR9I0,TBD,Y
ICRAITRRC90,04159640160,ICRAITRRC90,TBD,Y
ICRAITMMEQ0,00236570040,ICRAITMMEQ0,TBD,Y
ICRAITRRF90,00135400422,ICRAITRRF90,TBD,Y
ABI08549,00135400422,TBD,08549,Y
ABI07090,03310710409,TBD,07090,Y
ABI08342,00639000652,TBD,08342,Y
ICRAITRRAQ0,00772010153,ICRAITRRAQ0,TBD,Y
ABI08386,00772010153,TBD,08386,Y
ABI03273,03374640401,TBD,03273,Y
CRDRIT2FXXX,03374640401,CRDRIT2FXXX,TBD,Y
ABI08102,00103230223,TBD,08102,Y
CCRTIT2T27A,00103230223,CCRTIT2T27A,TBD,Y
ABI08530,00236570040,TBD,08530,Y
ABI08362,00359060951,TBD,08362,Y
ICRAITRRA20,00359060951,ICRAITRRA20,TBD,Y
ICRAITRRTS0,02888381205,ICRAITRRTS0,TBD,Y
ABI08833,00167420041,TBD,08833,Y
ABI08441,04159640160,TBD,08441,Y
ICRAITRRQA0,00071310817,ICRAITRRQA0,TBD,Y
ABI08946,00071310817,TBD,08946,Y
ABI08430,00196950133,TBD,08430,Y
ACARIT22XXX,00196950133,ACARIT22XXX,TBD,Y
ABI03268,02224410023,SELBIT2B,03268,Y
ABI03211,08301100015,SENVITT1,03211,Y
ICRAITRRP10,00698390150,ICRAITRRP10,TBD,Y
ABI08901,00698390150,TBD,08901,Y
ABI05116,00283510170,TBD,05116,Y
BCVAIT2V,00283510170,BCVAIT2V,TBD,Y
ABI08282,00104570221,TBD,08282,Y
CCRTIT2T73A,00104570221,CCRTIT2T73A,TBD,Y
ABI05856,00129730214,TBD,05856,Y
ABI05156,00144060332,TBD,05156,Y
BPAAIT2B,00129730214,BPAAIT2B,TBD,Y
BCPCIT2P,00144060332,BCPCIT2P,TBD,Y
ABI03403,09994611003,TBD,03403,Y
CCRTIT2T04A,00105910228,CCRTIT2T04A,TBD,Y
ABI08016,00105910228,TBD,08016,Y
IMPAITRR,09994611003,IMPAITRR,TBD,Y
ABI08078,00158520221,TBD,08078,Y
CCRTIT2T20A,00158520221,CCRTIT2T20A,TBD,Y
ABI08139,00158680223,TBD,08139,Y
CCRTIT2T37A,00158680223,CCRTIT2T37A,TBD,Y
ABI08784,00269570651,CCRTIT2TMPR,08784,Y
ABI08011,00148270226,TBD,08011,Y
ABI08315,01548170230,TBD,08315,Y
ABI08511,00078700259,CCRTIT2T95A,08511,Y
CCRTIT2T95,00078700259,CCRTIT2T95,TBD,Y
ABI07085,02216020301,TBD,07085,Y
CCRTIT2TK00,02216020301,CCRTIT2TK00,TBD,Y
ABI08140,00135870228,TBD,08140,Y
CCRTIT2T38A,00135870228,CCRTIT2T38A,TBD,Y
ABI08184,00104040225,TBD,08184,Y
CCRTIT2T50A,00104040225,CCRTIT2T50A,TBD,Y
CCRTIT2T05A,00210910220,CCRTIT2T05A,TBD,Y
ABI08024,00210910220,TBD,08024,Y
SIGPITM1XXX,06529501006,SIGPITM1XXX,TBD,Y
BPBAIT3B,00254030729,BPBAIT3B,TBD,Y
ABI08883,00415760370,TBD,08883,Y
BDBOIT22XXX,00415760370,BDBOIT22XXX,TBD,Y
ABI08805,00067610931,TBD,08805,Y
ABI08503,00334280724,TBD,08503,Y
CCRTIT2TT00,00334280724,CCRTIT2TT00,TBD,Y
ABI08692,00385040175,TBD,08692,Y
CCRTIT2TH00,00385040175,CCRTIT2TH00,TBD,Y
ABI08305,00158340224,CCRTIT2T77A,08305,Y
CCRTIT2T77A,00158340224,CCRTIT2T77A,08305,Y
ABI08304,00107860223,CCRTIT2T76A,08304,Y
CCRTIT2T76A,00107860223,CCRTIT2T76A,08304,Y
ABI01015,01564560900,TBD,01015,Y
ABI05387,01153230360,TBD,05387,Y
ICRAITRRAM0,00167340041,ICRAITRRAM0,TBD,Y
ABI08399,00275710242,TBD,08399,Y
ICRAITRRB30,00275710242,ICRAITRRB30,TBD,Y
ABI08982,01369230295,TBD,08982,Y
CCRTIT2T97A,01369230295,CCRTIT2T97A,TBD,Y
ABI08382,00167340041,CCRTIT2TBEN,08382,Y
SELBIT2B,02224410023,SELBIT2B,TBD,Y
ABI08200,00105000228,TBD,08200,Y
CCRTIT2T54A,00105000228,CCRTIT2T54A,TBD,Y
ABI08826,00128830411,TBD,08826,Y
ICRAITRRMY0,00128830411,ICRAITRRMY0,TBD,Y
ABI08210,00106190226,CCRTIT2T57A,08210,Y
CCRTIT2T57A,00106190226,CCRTIT2T57A,08210,Y
SENVITT1,08301100015,SENVITT1,TBD,Y
ICRAITRRF20,01445030396,ICRAITRRF20,TBD,Y
RZSBIT21052,00171380215,RZSBIT21052,TBD,Y
RZSBIT21022,00159550219,RZSBIT21022,TBD,Y
RZSBIT21006,00163220213,RZSBIT21006,TBD,Y
RZSBIT21025,00169290210,RZSBIT21025,TBD,Y
RZSBIT21054,00165630211,RZSBIT21054,TBD,Y
RZSBIT21027,00161920210,RZSBIT21027,TBD,Y
RZSBIT21031,00147330211,RZSBIT21031,TBD,Y
RZSBIT21039,00137770210,RZSBIT21039,TBD,Y
RZSBIT21032,00181040213,RZSBIT21032,TBD,Y
RZSBIT21033,00143180214,RZSBIT21033,TBD,Y
RZSBIT21055,00134590215,RZSBIT21055,TBD,Y
RZSBIT21034,00171320211,RZSBIT21034,TBD,Y
RZSBIT21036,00143170215,RZSBIT21036,TBD,Y
RZSBIT21048,00142030212,RZSBIT21048,TBD,Y
RZSBIT21042,00158030213,RZSBIT21042,TBD,Y
RZSBIT21045,00146490214,RZSBIT21045,TBD,Y
RZSBIT21044,00129600219,RZSBIT21044,TBD,Y
RZSBIT21040,00193730215,RZSBIT21040,TBD,Y
RZSBIT21050,00181320219,RZSBIT21050,TBD,Y
RZSBIT21023,00138880216,RZSBIT21023,TBD,Y
RZSBIT21007,00181170218,RZSBIT21007,TBD,Y
RZSBIT21026,00202890216,RZSBIT21026,TBD,Y
ICRAITRRAL0,01041710581,ICRAITRRAL0,TBD,Y
CCRTIT2TMPR,00269570651,CCRTIT2TMPR,08784,Y
ICRAITRRQW0,00086890696,ICRAITRRQW0,TBD,Y
CCRTIT2T43A,01258070224,CCRTIT2T43A,TBD,Y
CCRTIT2TVEL,00036100576,CCRTIT2TVEL,TBD,Y
ICRAITRRK80,00311340285,ICRAITRRK80,TBD,Y
POCAIT3C,00121930606,POCAIT3C,TBD,Y
RUAMIT22XXX,00251640306,RUAMIT22XXX,TBD,Y
CCRTIT2TMAL,03310710409,CCRTIT2TMAL,TBD,Y
CCRTIT2TRMB,04302260403,CCRTIT2TRMB,TBD,Y
CCRTIT2TNIS,01438930859,CCRTIT2TNIS,TBD,Y
CCRTIT2TIBL,01617330855,CCRTIT2TIBL,TBD,Y
ICRAITRRUS0,02428850842,ICRAITRRUS0,TBD,Y
ICRAITRRNG0,00256750720,ICRAITRRNG0,TBD,Y
ABI08020,00143210219,TBD,08020,Y
AZZBITT1XXX,00166050047,AZZBITT1XXX,TBD,Y
ICRAITRRTM0,03685090650,ICRAITRRTM0,TBD,Y
ICRAITRRBK0,00319990230,ICRAITRRBK0,TBD,Y
CCRTIT2TSGR,00149260713,CCRTIT2TSGR,TBD,Y
CCRTIT2TVIT,00057680563,CCRTIT2TVIT,TBD,Y
CCRTIT2T01A,00148270226,CCRTIT2T01A,TBD,Y
CCRTIT2TLAU,09900240152,CCRTIT2TLAU,TBD,Y
ABI07116,90016030679,TBD,07116,Y
CCRTIT2TGSI,90016030679,CCRTIT2TGSI,TBD,Y
ICRAITRRCD0,00198480758,ICRAITRRCD0,TBD,Y
ABI07096,02742900927,TBD,07096,Y
ICRAITRRUG0,02742900927,ICRAITRRUG0,TBD,Y
SARDIT31,01564560900,SARDIT31,01015,Y
BDBDIT22,01181770155,BDBDIT22XXX,03440,Y
CCRTIT2TALB,00380000729,CCRTIT2TALB,TBD,Y
CCRTIT2TCAS,00149160491,CCRTIT2TCAS,TBD,Y
RZSBIT21019,00179580212,RZSBIT21019,TBD,Y
POPRIT3R,00026870881,POPRIT3R,TBD,Y
CCRTIT2TTER,00251640306,CCRTIT2TTER,TBD,Y
