PSP_CODE,CF,BIC,ABI
ABI08542,01445030396,TBD,08542
ABI08904,00254520265,CCRTIT2TPRE,08904
ABI08717,00134660604,TBD,08717
ICRAITRRJX0,00134660604,ICRAITRRJX0,TBD
ABI08452,00285800280,TBD,08452
ABI03493,00194450219,TBD,03493
ABI08133,00179580212,TBD,08133
ICRAITRR3P0,00179580212,ICRAITRR3P0,TBD
CCRTIT2T06A,00106040223,CCRTIT2T06A,TBD
ABI08026,00106040223,TBD,08026
ABI08327,01275240586,TBD,08327
ROMAITRRXXX,01275240586,ROMAITRRXXX,TBD
ABI08514,02249360161,TBD,08514
ICRAITRREA0,02249360161,ICRAITRREA0,TBD
ABI08726,00174600460,TBD,08726
ICRAITRRK60,00174600460,ICRAITRRK60,TBD
CIPYIT31K,01806800676,CIPYIT31K,TBD
ABI08807,00232120246,TBD,08807
CCRTIT2TC11,00232120246,CCRTIT2TC11,TBD
ICRAITRRNO0,04302260403,ICRAITRRNO0,TBD
ABI08852,04302260403,TBD,08852
ABI03084,07051880966,TBD,03084
ABI03425,00166050047,TBD,03425
ABI03430,03515830168,TBD,03430
ABI03440,01181770155,BDBDIT22XXX,03440
ABI05036,00026870881,TBD,05036
ABI05104,04781291002,TBD,05104
ABI05142,00423310630,TBD,05142
ABI05262,02848590754,TBD,05262
ABI05372,00121930606,TBD,05372
ABI05424,00254030729,TBD,05424
ABI05484,00249360306,TBD,05484
ABI06045,00152980215,TBD,06045
ABI06085,00060550050,TBD,06085
ABI06150,00112540448,TBD,06150
ABI06220,00063960553,TBD,06220
ABI06305,00204500045,TBD,06305
ABI06915,01459540462,TBD,06915
ABI07062,02300410780,TBD,07062
ABI07066,03685090650,TBD,07066
ABI07070,04241970401,TBD,07070
ABI07072,02888381205,TBD,07072
BCITITMM,00799960158,BCITITMM,03069
UNCRITMM,00348170101,UNCRITMM,02008
RZSBIT2B,00194450219,RZSBIT2B,TBD
ABI02008,00348170101,TBD,02008
BPLZIT3V,04781291002,BPLZIT3VXXX,TBD
IMCOIT2A,00293070371,IMCOIT2AXXX,05080
CRRAIT2R,01188860397,CRRAIT2RXXX,06270
ABI03048,00821100013,TBD,03048
BDCPITTT,00821100013,BDCPITTTXXX,03048
ABI05080,00293070371,IMCOIT2AXXX,05080
ABI06270,01188860397,CRRAIT2RXXX,06270
ABI03069,00799960158,TBD,03069
ABI03599,00232480228,TBD,03599
CCRTIT2TXXX,00232480228,CCRTIT2TXXX,TBD
ABI01030,00884060526,TBD,01030
UNCR-COR,00348170101,TBD,TBD
ABI05034,09722490969,TBD,05034
ITBBITM1,06529501006,ITBBITM1XXX,TBD
ICRAITRRE20,03310710409,ICRAITRRE20,TBD
ICRAITRR9I0,00639000652,ICRAITRR9I0,TBD
ICRAITRRC90,04159640160,ICRAITRRC90,TBD
ICRAITMMEQ0,00236570040,ICRAITMMEQ0,TBD
ICRAITRRF90,00135400422,ICRAITRRF90,TBD
ABI08549,00135400422,TBD,08549
ABI07090,03310710409,TBD,07090
ABI08342,00639000652,TBD,08342
ICRAITRRAQ0,00772010153,ICRAITRRAQ0,TBD
ABI08386,00772010153,TBD,08386
ABI03273,03374640401,TBD,03273
CRDRIT2FXXX,03374640401,CRDRIT2FXXX,TBD
ABI08102,00103230223,TBD,08102
CCRTIT2T27A,00103230223,CCRTIT2T27A,TBD
ABI08530,00236570040,TBD,08530
ABI08362,00359060951,TBD,08362
ICRAITRRA20,00359060951,ICRAITRRA20,TBD
ICRAITRRTS0,02888381205,ICRAITRRTS0,TBD
ABI08833,00167420041,TBD,08833
ABI08441,04159640160,TBD,08441
ICRAITRRQA0,00071310817,ICRAITRRQA0,TBD
ABI08946,00071310817,TBD,08946
ABI08430,00196950133,TBD,08430
ACARIT22XXX,00196950133,ACARIT22XXX,TBD
ABI03268,02224410023,SELBIT2B,03268
ABI03211,08301100015,SENVITT1,03211
ICRAITRRP10,00698390150,ICRAITRRP10,TBD
ABI08901,00698390150,TBD,08901
ABI05116,00283510170,TBD,05116
BCVAIT2V,00283510170,BCVAIT2V,TBD
ABI08282,00104570221,TBD,08282
CCRTIT2T73A,00104570221,CCRTIT2T73A,TBD
ABI05856,00129730214,TBD,05856
ABI05156,00144060332,TBD,05156
BPAAIT2B,00129730214,BPAAIT2B,TBD
BCPCIT2P,00144060332,BCPCIT2P,TBD
ABI03403,09994611003,TBD,03403
CCRTIT2T04A,00105910228,CCRTIT2T04A,TBD
ABI08016,00105910228,TBD,08016
IMPAITRR,09994611003,IMPAITRR,TBD
ABI08078,00158520221,TBD,08078
CCRTIT2T20A,00158520221,CCRTIT2T20A,TBD
ABI08139,00158680223,TBD,08139
CCRTIT2T37A,00158680223,CCRTIT2T37A,TBD
ABI08784,00269570651,CCRTIT2TMPR,08784
ABI08011,00148270226,TBD,08011
ABI08315,01548170230,TBD,08315
ABI08511,00078700259,CCRTIT2T95A,08511
CCRTIT2T95,00078700259,CCRTIT2T95,TBD
ABI07085,02216020301,TBD,07085
CCRTIT2TK00,02216020301,CCRTIT2TK00,TBD
ABI08140,00135870228,TBD,08140
CCRTIT2T38A,00135870228,CCRTIT2T38A,TBD
ABI08184,00104040225,TBD,08184
